A0A1B0GTU1	ZC3H11B
P35030	PRSS3
P35080	PFN2
P35219	CA8
P35221	CTNNA1
P35222	CTNNB1
P35226	BMI1
P35227	PCGF2
P35232	PHB
P35237	SERPINB6
P35240	NF2
P35241	RDX
P35244	RPA3
P35249	RFC4
P35250	RFC2
P35251	RFC1
P35268	RPL22
P35269	GTF2F1
P35270	SPR
P35453	HOXD13
P35573	AGL
P35579	MYH9
P35580	MYH10
P35606	COPB2
P35609	ACTN2
P35610	SOAT1
P35611	ADD1
P35612	ADD2
P35613	BSG
P35637	FUS
P35658	NUP214
P35659	DEK
P35670	ATP7B
P35749	MYH11
P35754	GLRX
P35790	CHKA
P35914	HMGCL
P35998	PSMC2
P36383	GJC1
P36404	ARL2
P36405	ARL3
P36406	TRIM23
P36507	MAP2K2
P36542	ATP5C1
P36543	ATP6V1E1
P36551	CPOX
P36578	RPL4
P36639	NUDT1
P36776	LONP1
P36871	PGM1
P36873	PPP1CC
P36896	ACVR1B
P36915	GNL1
P36952	SERPINB5
P36957	DLST
P37108	SRP14
P37198	NUP62
P37235	HPCAL1
P37268	FDFT1
P37275	ZEB1
P37287	PIGA
P37802	TAGLN2
P37837	TALDO1
P38117	ETFB
P38159	RBMX
P38398	BRCA1
P38432	COIL
P38435	GGCX
P38571	LIPA
P38606	ATP6V1A
P38646	HSPA9
P38919	EIF4A3
P38935	IGHMBP2
P39019	RPS19
P39023	RPL3
P39210	MPV17
P39656	DDOST
P39687	ANP32A
P39748	FEN1
P39880	CUX1
P40123	CAP2
P40222	TXLNA
P40227	CCT6A
P40425	PBX2
P40429	RPL13A
P40616	ARL1
P40692	MLH1
P40763	STAT3
P40818	USP8
P40855	PEX19
P40925	MDH1
P40926	MDH2
P40937	RFC5
P40938	RFC3
P40939	HADHA
P41091	EIF2S3
P41208	CETN2
P41214	EIF2D
P41219	PRPH
P41223	BUD31
P41227	NAA10
P41229	KDM5C
P41240	CSK
P41247	PNPLA4
P41250	GARS
P41252	IARS
P41440	SLC19A1
P41567	EIF1
P41743	PRKCI
P42025	ACTR1B
P42126	ECI1
P42166	TMPO
P42167	TMPO
P42224	STAT1
P42285	SKIV2L2
P42345	MTOR
P42356	PI4KA
P42357	HAL
P42566	EPS15
P42574	CASP3
P42575	CASP2
P42677	RPS27
P42694	HELZ
P42695	NCAPD3
P42696	RBM34
P42704	LRPPRC
P42765	ACAA2
P42766	RPL35
P42771	CDKN2A
P42772	CDKN2B
P42785	PRCP
P42858	HTT
P42892	ECE1
P42898	MTHFR
P43007	SLC1A4
P43034	PAFAH1B1
P43121	MCAM
P43155	CRAT
P43243	MATR3
P43246	MSH2
P43304	GPD2
P43307	SSR1
P43308	SSR2
P43378	PTPN9
P43487	RANBP1
P43490	NAMPT
P43686	PSMC4
P43897	TSFM
P45877	PPIC
P45880	VDAC2
P45954	ACADSB
P45973	CBX5
P45974	USP5
P45983	MAPK8
P45984	MAPK9
P45985	MAP2K4
P46013	MKI67
P46020	PHKA1
P46060	RANGAP1
P46063	RECQL
P46087	NOP2
P46100	ATRX
P46108	CRK
P46109	CRKL
P46199	MTIF2
P46379	BAG6
P46459	NSF
P46734	MAP2K3
P46776	RPL27A
P46777	RPL5
P46778	RPL21
P46779	RPL28
P46781	RPS9
P46782	RPS5
P46783	RPS10
P46821	MAP1B
P46926	GNPDA1
P46934	NEDD4
P46937	YAP1
P46939	UTRN
P46940	IQGAP1
P46976	GYG1
P46977	STT3A
P47712	PLA2G4A
P47755	CAPZA2
P47756	CAPZB
P47895	ALDH1A3
P47897	QARS
P47914	RPL29
P47929	LGALS7*
P47985	UQCRFS1
P47989	XDH
P48047	ATP5O
P48059	LIMS1
P48147	PREP
P48163	ME1
P48426	PIP4K2A
P48444	ARCN1
P48449	LSS
P48454	PPP3CC
P48506	GCLC
P48507	GCLM
P48556	PSMD8
P48594	SERPINB4
P48634	PRRC2A
P48637	GSS
P48643	CCT5
P48651	PTDSS1
P48681	NES
P48723	HSPA13
P48729	CSNK1A1
P48730	CSNK1D
P48735	IDH2
P48739	PITPNB
P48960	ADGRE5
P48995	TRPC1
P49005	POLD2
P49006	MARCKSL1
P49023	PXN
P49069	CAMLG
P49137	MAPKAPK2
P49189	ALDH9A1
P49207	RPL34
P49247	RPIA
P49257	LMAN1
P49321	NASP
P49327	FASN
P49336	CDK8
P49354	FNTA
P49356	FNTB
P49366	DHPS
P49368	CCT3
P49406	MRPL19
P49407	ARRB1
P49411	TUFM
P49418	AMPH
P49419	ALDH7A1
P49427	CDC34
P49441	INPP1
P49454	CENPF
P49458	SRP9
P49459	UBE2A
P49585	PCYT1A
P49588	AARS
P49589	CARS
P49590	HARS2
P49591	SARS
P49593	PPM1F
P49642	PRIM1
P49643	PRIM2
P49674	CSNK1E
P49711	CTCF
P49720	PSMB3
P49721	PSMB2
P49736	MCM2
P49748	ACADVL
P49750	YLPM1
P49753	ACOT2
P49755	TMED10
P49756	RBM25
P49757	NUMB
P49760	CLK2
P49761	CLK3
P49768	PSEN1
P49770	EIF2B2
P49773	HINT1
P49790	NUP153
P49792	RANBP2
P49815	TSC2
P49821	NDUFV1
P49840	GSK3A
P49841	GSK3B
P49848	TAF6
P49902	NT5C2
P49903	SEPHS1
P49914	MTHFS
P49915	GMPS
P49916	LIG3
P49917	LIG4
P49959	MRE11
P50148	GNAQ
P50213	IDH3A
P50225	SULT1A1
P50336	PPOX
P50395	GDI2
P50402	EMD
P50416	CPT1A
P50443	SLC26A2
P50452	SERPINB8
P50453	SERPINB9
P50454	SERPINH1
P50542	PEX5
P50552	VASP
P50570	DNM2
P50579	METAP2
P50607	TUB
P50613	CDK7
P50747	HLCS
P50748	KNTC1
P50750	CDK9
P50851	LRBA
P50897	PPT1
P50914	RPL14
P50990	CCT8
P50991	CCT4
P50995	ANXA11
P51003	PAPOLA
P51114	FXR1
P51116	FXR2
P51148	RAB5C
P51149	RAB7A
P51151	RAB9A
P51153	RAB13
P51159	RAB27A
P51398	DAP3
P51452	DUSP3
P51513	NOVA1
P51530	DNA2
P51531	SMARCA2
P51532	SMARCA4
P51553	IDH3G
P51570	GALK1
P51571	SSR4
P51572	BCAP31
P51580	TPMT
P51608	MECP2
P51610	HCFC1
P51617	IRAK1
P51648	ALDH3A2
P51649	ALDH5A1
P51659	HSD17B4
P51665	PSMD7
P51668	UBE2D1
P51688	SGSH
P51690	ARSE
P51692	STAT5B
P51784	USP11
P51790	CLCN3
P51795	CLCN5
P51797	CLCN6
P51798	CLCN7
P51805	PLXNA3
P51809	VAMP7
P51812	RPS6KA3
P51817	PRKX
P51858	HDGF
P51911	CNN1
P51948	MNAT1
P51956	NEK3
P51957	NEK4
P51970	NDUFA8
P51991	HNRNPA3
P52209	PGD
P52272	HNRNPM
P52292	KPNA2
P52294	KPNA1
P52298	NCBP2
P52306	RAP1GDS1
P52429	DGKE
P52434	POLR2H
P52564	MAP2K6
P52565	ARHGDIA
P52569	SLC7A2
P52594	AGFG1
P52597	HNRNPF
P52655	GTF2A1
P52657	GTF2A2
P52701	MSH6
P52732	KIF11
P52735	VAV2
P52739	ZNF131
P52740	ZNF132
P52756	RBM5
P52758	RIDA
P52788	SMS
P52789	HK2
P52815	MRPL12
P52848	NDST1
P52888	THOP1
P52907	CAPZA1
P52926	HMGA2
P52948	NUP98
P52952	NKX2-5
P53004	BLVRA
P53007	SLC25A1
P53041	PPP5C
P53350	PLK1
P53365	ARFIP2
P53367	ARFIP1
P53384	NUBP1
P53396	ACLY
P53582	METAP1
P53597	SUCLG1
P53602	MVD
P53609	PGGT1B
P53611	RABGGTB
P53618	COPB1
P53621	COPA
P53634	CTSC
P53667	LIMK1
P53677	AP3M2
P53680	AP2S1
P53701	HCCS
P53778	MAPK12
P53985	SLC16A1
P53990	IST1
P53992	SEC24C
P53999	SUB1
P54098	POLG
P54105	CLNS1A
P54132	BLM
P54136	RARS
P54198	HIRA
P54277	PMS1
P54278	PMS2
P54289	CACNA2D1
P54577	YARS
P54578	USP14
P54619	PRKAG1
P54646	PRKAA2
P54652	HSPA2
P54687	BCAT1
P54707	ATP12A
P54709	ATP1B3
P54725	RAD23A
P54727	RAD23B
P54760	EPHB4
P54764	EPHA4
P54802	NAGLU
P54819	AK2
P54840	GYS2
P54886	ALDH18A1
P54920	NAPA
P55010	EIF5
P55011	SLC12A2
P55036	PSMD4
P55039	DRG2
P55060	CSE1L
P55061	TMBIM6
P55072	VCP
P55081	MFAP1
P55084	HADHB
P55145	MANF
P55196	AFDN
P55197	MLLT10
P55199	ELL
P55201	BRPF1
P55209	NAP1L1
P55210	CASP7
P55212	CASP6
P55263	ADK
P55265	ADAR
P55327	TPD52
P55735	SEC13
P55769	SNU13
P55786	NPEPPS
P55795	HNRNPH2
P55809	OXCT1
P55854	SUMO3
P55884	EIF3B
P55899	FCGRT
P56134	ATP5J2
P56182	RRP1
P56192	MARS
P56211	ARPP19
P56282	POLE2
P56377	AP1S2
P56378	C14orf2
P56385	ATP5I
P56537	EIF6
P56545	CTBP2
P56556	NDUFA6
P56589	PEX3
P56937	HSD17B7
P56962	STX17
P57076	C21orf59
P57081	WDR4
P57088	TMEM33
P57105	SYNJ2BP
P57678	GEMIN4
P57729	RAB38
P57737	CORO7
P57740	NUP107
P57772	EEFSEC
P58004	SESN2
P58107	EPPK1
P58511	SMIM11
P58546	MTPN
P58876	HIST1H2BD
P59190	RAB15
P59998	ARPC4
P60033	CD81
P60059	SEC61G
P60174	TPI1
P60228	EIF3E
P60468	SEC61B
P60510	PPP4C
P60520	GABARAPL2
P60602	ROMO1
P60604	UBE2G2
P60660	MYL6
P60763	RAC3
P60842	EIF4A1
P60866	RPS20
P60891	PRPS1
P60900	PSMA6
P60903	S100A10
P60953	CDC42
P60981	DSTN
P60983	GMFB
P61006	RAB8A
P61009	SPCS3
P61011	SRP54
P61019	RAB2A
P61020	RAB5B
P61026	RAB10
P61077	UBE2D3
P61081	UBE2M
P61086	UBE2K
P61088	UBE2N
P61106	RAB14
P61158	ACTR3
P61160	ACTR2
P61163	ACTR1A
P61201	COPS2
P61218	POLR2F
P61221	ABCE1
P61225	RAP2B
P61247	RPS3A
P61254	RPL26
P61289	PSME3
P61313	RPL15
P61353	RPL27
P61421	ATP6V0D1
P61457	PCBD1
P61513	RPL37A
P61586	RHOA
P61599	NAA20
P61601	NCALD
P61604	HSPE1
P61619	SEC61A1
P61758	VBP1
P61803	DAD1
P61916	NPC2
P61923	COPZ1
P61927	RPL37
P61956	SUMO2
P61960	UFM1
P61962	DCAF7
P61964	WDR5
P61966	AP1S1
P61970	NUTF2
P61978	HNRNPK
P61981	YWHAG
P62070	RRAS2
P62072	TIMM10
P62081	RPS7
P62136	PPP1CA
P62140	PPP1CB
P62191	PSMC1
P62195	PSMC5
P62241	RPS8
P62244	RPS15A
P62249	RPS16
P62256	UBE2H
P62258	YWHAE
P62263	RPS14
P62266	RPS23
P62269	RPS18
P62273	RPS29
P62277	RPS13
P62280	RPS11
P62304	SNRPE
P62306	SNRPF
P62308	SNRPG
P62310	LSM3
P62312	LSM6
P62314	SNRPD1
P62316	SNRPD2
P62318	SNRPD3
P62328	TMSB4X
P62330	ARF6
P62333	PSMC6
P62380	TBPL1
P62424	RPL7A
P62487	POLR2G
P62491	RAB11A
P62495	ETF1
P62699	YPEL5
P62701	RPS4X
P62714	PPP2CB
P62745	RHOB
P62750	RPL23A
P62753	RPS6
P62805	H4C1*
P62820	RAB1A
P62826	RAN
P62829	RPL23
P62834	RAP1A
P62837	UBE2D2
P62841	RPS15
P62847	RPS24
P62851	RPS25
P62854	RPS26
P62857	RPS28
P62861	FAU
P62873	GNB1
P62875	POLR2L
P62877	RBX1
P62879	GNB2
P62888	RPL30
P62891	RPL39
P62899	RPL31
P62906	RPL10A
P62910	RPL32
P62913	RPL11
P62917	RPL8
P62942	FKBP1A
P62993	GRB2
P62995	TRA2B
P63000	RAC1
P63010	AP2B1
P63027	VAMP2
P63096	GNAI1
P63104	YWHAZ
P63151	PPP2R2A
P63167	DYNLL1
P63172	DYNLT1
P63173	RPL38
P63208	SKP1
P63218	GNG5
P63220	RPS21
P63241	EIF5A
P63244	RACK1
P67775	PPP2CA
P67809	YBX1
P67812	SEC11A
P67870	CSNK2B
P67936	TPM4
P68036	UBE2L3
P68366	TUBA4A
P68371	TUBB4B
P68400	CSNK2A1
P68402	PAFAH1B2
P68431	H3C1*
P78310	CXADR
P78316	NOP14
P78318	IGBP1
P78330	PSPH
P78332	RBM6
P78344	EIF4G2
P78345	RPP38
P78346	RPP30
P78347	GTF2I
P78348	ASIC1
P78356	PIP4K2B
P78362	SRPK2
P78371	CCT2
P78382	SLC35A1
P78383	SLC35B1
P78406	RAE1
P78417	GSTO1
P78527	PRKDC
P78536	ADAM17
P78537	BLOC1S1
P78540	ARG2
P78549	NTHL1
P78559	MAP1A
P80188	LCN2
P80303	NUCB2
P80404	ABAT
P80511	S100A12
P80723	BASP1
P81274	GPSM2
P81605	DCD
P82094	TMF1
P82650	MRPS22
P82663	MRPS25
P82664	MRPS10
P82673	MRPS35
P82675	MRPS5
P82912	MRPS11
P82914	MRPS15
P82921	MRPS21
P82930	MRPS34
P82932	MRPS6
P82933	MRPS9
P82970	HMGN5
P82979	SARNP
P83111	LACTB
P83436	COG7
P83731	RPL24
P83876	TXNL4A
P83881	RPL36A
P83916	CBX1
P84022	SMAD3
P84085	ARF5
P84090	ERH
P84095	RHOG
P84098	RPL19
P84103	SRSF3
P84157	MXRA7
P84243	H3-3A*
P85037	FOXK1
P86790	CCZ1B
P98082	DAB2
P98088	MUC5AC
P98155	VLDLR
P98164	LRP2
P98170	XIAP
P98172	EFNB1
P98175	RBM10
P98179	RBM3
P98194	ATP2C1
Q00013	MPP1
Q00059	TFAM
Q00169	PITPNA
Q00325	SLC25A3
Q00341	HDLBP
Q00403	GTF2B
Q00534	CDK6
Q00535	CDK5
Q00536	CDK16
Q00537	CDK17
Q00577	PURA
Q00610	CLTC
Q00613	HSF1
Q00653	NFKB2
Q00688	FKBP3
Q00765	REEP5
Q00796	SORD
Q00839	HNRNPU
Q01081	U2AF1
Q01082	SPTBN1
Q01085	TIAL1
Q01105	SET
Q01130	SRSF2
Q01167	FOXK2
Q01433	AMPD2
Q01459	CTBS
Q01469	FABP5
Q01518	CAP1
Q01581	HMGCS1
Q01650	SLC7A5
Q01658	DR1
Q01664	TFAP4
Q01780	EXOSC10
Q01804	OTUD4
Q01813	PFKP
Q01831	XPC
Q01844	EWSR1
Q01968	OCRL
Q01970	PLCB3
Q02040	AKAP17A
Q02127	DHODH
Q02218	OGDH
Q02224	CENPE
Q02241	KIF23
Q02252	ALDH6A1
Q02383	SEMG2
Q02413	DSG1
Q02487	DSC2
Q02539	HIST1H1A
Q02543	RPL18A
Q02750	MAP2K1
Q02790	FKBP4
Q02809	PLOD1
Q02818	NUCB1
Q02878	RPL6
Q02880	TOP2B
Q02952	AKAP12
Q02978	SLC25A11
Q03001	DST
Q03111	MLLT1
Q03135	CAV1
Q03154	ACY1
Q03164	KMT2A
Q03188	CENPC
Q03252	LMNB2
Q03426	MVK
Q03518	TAP1
Q03519	TAP2
Q03701	CEBPZ
Q04206	RELA
Q04323	UBXN1
Q04446	GBE1
Q04637	EIF4G1
Q04656	ATP7A
Q04721	NOTCH2
Q04726	TLE3
Q04727	TLE4
Q04760	GLO1
Q04837	SSBP1
Q04864	REL
Q04917	YWHAH
Q05048	CSTF1
Q05086	UBE3A
Q05193	DNM1
Q05397	PTK2
Q05513	PRKCZ
Q05519	SRSF11
Q05639	EEF1A2
Q05655	PRKCD
Q05682	CALD1
Q05932	FPGS
Q05BQ5	MBTD1
Q05D32	CTDSPL2
Q05DH4	FAM160A1
Q06055	ATP5G2
Q06124	PTPN11
Q06136	KDSR
Q06203	PPAT
Q06210	GFPT1
Q06265	EXOSC9
Q06323	PSME1
Q06330	RBPJ
Q06481	APLP2
Q06520	SULT2A1
Q06546	GABPA
Q06587	RING1
Q06609	RAD51
Q06787	FMR1
Q07020	RPL18
Q07021	C1QBP
Q07065	CKAP4
Q07157	TJP1
Q07617	SPAG1
Q07666	KHDRBS1
Q07812	BAX
Q07820	MCL1
Q07864	POLE
Q07866	KLC1
Q07954	LRP1
Q07955	SRSF1
Q07960	ARHGAP1
Q08117	AES
Q08170	SRSF4
Q08188	TGM3
Q08209	PPP3CA
Q08211	DHX9
Q08257	CRYZ
Q08378	GOLGA3
Q08379	GOLGA2
Q08380	LGALS3BP
Q08426	EHHADH
Q08431	MFGE8
Q08554	DSC1
Q08623	PUDP
Q08722	CD47
Q08752	PPID
Q08945	SSRP1
Q08AF3	SLFN5
Q08AM6	VAC14
Q08J23	NSUN2
Q09028	RBBP4
Q09161	NCBP1
Q09328	MGAT5
Q09472	EP300
Q09666	AHNAK
Q0IIM8	TBC1D8B
Q0JRZ9	FCHO2
Q0P6H9	TMEM62
Q0PNE2	ELP6
Q0VDF9	HSPA14
Q0VDG4	SCRN3
Q0VGL1	LAMTOR4
Q10469	MGAT2
Q10471	GALNT2
Q10472	GALNT1
Q10567	AP1B1
Q10570	CPSF1
Q10713	PMPCA
Q11206	ST3GAL4
Q12756	KIF1A
Q12765	SCRN1
Q12767	TMEM94
Q12768	WASHC5
Q12769	NUP160
Q12770	SCAP
Q12772	SREBF2
Q12788	TBL3
Q12789	GTF3C1
Q12792	TWF1
Q12797	ASPH
Q12798	CETN1
Q12800	TFCP2
Q12802	AKAP13
Q12815	TROAP
Q12816	TRO
Q12824	SMARCB1
Q12830	BPTF
Q12834	CDC20
Q12840	KIF5A
Q12841	FSTL1
Q12846	STX4
Q12849	GRSF1
Q12872	SFSWAP
Q12873	CHD3
Q12874	SF3A3
Q12888	TP53BP1
Q12893	TMEM115
Q12899	TRIM26
Q12904	AIMP1
Q12905	ILF2
Q12906	ILF3
Q12907	LMAN2
Q12923	PTPN13
Q12929	EPS8
Q12931	TRAP1
Q12933	TRAF2
Q12948	FOXC1
Q12955	ANK3
Q12959	DLG1
Q12962	TAF10
Q12965	MYO1E
Q12968	NFATC3
Q12972	PPP1R8
Q12974	PTP4A2
Q12979	ABR
Q12981	BNIP1
Q12982	BNIP2
Q12996	CSTF3
Q13011	ECH1
Q13017	ARHGAP5
Q13029	PRDM2
Q13033	STRN3
Q13042	CDC16
Q13043	STK4
Q13045	FLII
Q13049	TRIM32
Q13057	COASY
Q13084	MRPL28
Q13085	ACACA
Q13098	GPS1
Q13099	IFT88
Q13107	USP4
Q13111	CHAF1A
Q13112	CHAF1B
Q13123	IK
Q13126	MTAP
Q13131	PRKAA1
Q13136	PPFIA1
Q13137	CALCOCO2
Q13144	EIF2B5
Q13148	TARDBP
Q13151	HNRNPA0
Q13153	PAK1
Q13155	AIMP2
Q13158	FADD
Q13162	PRDX4
Q13164	MAPK7
Q13177	PAK2
Q13185	CBX3
Q13188	STK3
Q13190	STX5
Q13191	CBLB
Q13200	PSMD2
Q13206	DDX10
Q13217	DNAJC3
Q13228	SELENBP1
Q13232	NME3
Q13242	SRSF9
Q13243	SRSF5
Q13247	SRSF6
Q13257	MAD2L1
Q13263	TRIM28
Q13277	STX3
Q13283	G3BP1
Q13286	CLN3
Q13296	SCGB2A2
Q13308	PTK7
Q13309	SKP2
Q13310	PABPC4
Q13315	ATM
Q13322	GRB10
Q13325	IFIT5
Q13330	MTA1
Q13332	PTPRS
Q13347	EIF3I
Q13356	PPIL2
Q13362	PPP2R5C
Q13363	CTBP1
Q13371	PDCL
Q13395	TARBP1
Q13404	UBE2V1
Q13405	MRPL49
Q13409	DYNC1I2
Q13415	ORC1
Q13416	ORC2
Q13418	ILK
Q13423	NNT
Q13425	SNTB2
Q13426	XRCC4
Q13427	PPIG
Q13428	TCOF1
Q13432	UNC119
Q13435	SF3B2
Q13438	OS9
Q13439	GOLGA4
Q13442	PDAP1
Q13443	ADAM9
Q13444	ADAM15
Q13445	TMED1
Q13451	FKBP5
Q13459	MYO9B
Q13464	ROCK1
Q13472	TOP3A
Q13485	SMAD4
Q13492	PICALM
Q13496	MTM1
Q13501	SQSTM1
Q13503	MED21
Q13505	MTX1
Q13509	TUBB3
Q13510	ASAH1
Q13523	PRPF4B
Q13526	PIN1
Q13535	ATR
Q13546	RIPK1
Q13547	HDAC1
Q13555	CAMK2G
Q13557	CAMK2D
Q13561	DCTN2
Q13563	PKD2
Q13564	NAE1
Q13572	ITPK1
Q13573	SNW1
Q13576	IQGAP2
Q13586	STIM1
Q13595	TRA2A
Q13596	SNX1
Q13601	KRR1
Q13608	PEX6
Q13610	PWP1
Q13613	MTMR1
Q13614	MTMR2
Q13615	MTMR3
Q13616	CUL1
Q13617	CUL2
Q13618	CUL3
Q13619	CUL4A
Q13620	CUL4B
Q13625	TP53BP2
Q13630	TSTA3
Q13635	PTCH1
Q13636	RAB31
Q13637	RAB32
Q13641	TPBG
Q13642	FHL1
Q13685	AAMP
Q13686	ALKBH1
Q13724	MOGS
Q13740	ALCAM
Q13769	THOC5
Q13772	NCOA4
Q13794	PMAIP1
Q13795	ARFRP1
Q13813	SPTAN1
Q13823	GNL2
Q13825	AUH
Q13829	TNFAIP1
Q13838	DDX39B
Q13867	BLMH
Q13868	EXOSC2
Q13885	TUBB2A
Q13895	BYSL
Q13901	C1D
Q13907	IDI1
Q13948	CUX1
Q13951	CBFB
Q13976	PRKG1
Q14004	CDK13
Q14008	CKAP5
Q14011	CIRBP
Q14012	CAMK1
Q14019	COTL1
Q14103	HNRNPD
Q14108	SCARB2
Q14117	DPYS
Q14118	DAG1
Q14126	DSG2
Q14137	BOP1
Q14139	UBE4A
Q14141	SEPT6
Q14145	KEAP1
Q14146	URB2
Q14147	DHX34
Q14149	MORC3
Q14151	SAFB2
Q14152	EIF3A
Q14155	ARHGEF7
Q14156	EFR3A
Q14157	UBAP2L
Q14160	SCRIB
Q14161	GIT2
Q14165	MLEC
Q14166	TTLL12
Q14168	MPP2
Q14181	POLA2
Q14185	DOCK1
Q14186	TFDP1
Q14188	TFDP2
Q14191	WRN
Q14194	CRMP1
Q14195	DPYSL3
Q14197	MRPL58
Q14202	ZMYM3
Q14203	DCTN1
Q14204	DYNC1H1
Q14207	NPAT
Q14232	EIF2B1
Q14240	EIF4A2
Q14241	ELOA
Q14247	CTTN
Q14249	ENDOG
Q14254	FLOT2
Q14257	RCN2
Q14258	TRIM25
Q14315	FLNC
Q14318	FKBP8
Q14320	FAM50A
Q14331	FRG1
Q14344	GNA13
Q14353	GAMT
Q14376	GALE
Q14410	GK2
Q14444	CAPRIN1
Q14457	BECN1
Q14493	SLBP
Q14498	RBM39
Q14517	FAT1
Q14527	HLTF
Q14534	SQLE
Q14554	PDIA5
Q14558	PRPSAP1
Q14562	DHX8
Q14566	MCM6
Q14571	ITPR2
Q14574	DSC3
Q14596	NBR1
Q14642	INPP5A
Q14643	ITPR1
Q14651	PLS1
Q14667	KIAA0100
Q14669	TRIP12
Q14671	PUM1
Q14674	ESPL1
Q14676	MDC1
Q14677	CLINT1
Q14679	TTLL4
Q14683	SMC1A
Q14684	RRP1B
Q14687	GSE1
Q14689	DIP2A
Q14690	PDCD11
Q14691	GINS1
Q14692	BMS1
Q14694	USP10
Q14696	MESD
Q14697	GANAB
Q14699	RFTN1
Q14728	MFSD10
Q14738	PPP2R5D
Q14739	LBR
Q14746	COG2
Q14781	CBX2
Q14789	GOLGB1
Q14790	CASP8
Q147X3	NAA30
Q14807	KIF22
Q14839	CHD4
Q14847	LASP1
Q14849	STARD3
Q14894	CRYM
Q14914	PTGR1
Q14919	DRAP1
Q14964	RAB39A
Q14966	ZNF638
Q14974	KPNB1
Q14978	NOLC1
Q14980	NUMA1
Q14997	PSME4
Q14999	CUL7
Q149N8	SHPRH
Q14BN4	SLMAP
Q14C86	GAPVD1
Q14CX7	NAA25
Q14CZ7	FASTKD3
Q15003	NCAPH
Q15004	PCLAF
Q15005	SPCS2
Q15006	EMC2
Q15007	WTAP
Q15008	PSMD6
Q15011	HERPUD1
Q15012	LAPTM4A
Q15013	MAD2L1BP
Q15014	MORF4L2
Q15018	ABRAXAS2
Q15019	SEPT2
Q15020	SART3
Q15021	NCAPD2
Q15022	SUZ12
Q15024	EXOSC7
Q15029	EFTUD2
Q15031	LARS2
Q15032	R3HDM1
Q15036	SNX17
Q15041	ARL6IP1
Q15042	RAB3GAP1
Q15043	SLC39A14
Q15046	KARS
Q15047	SETDB1
Q15048	LRRC14
Q15050	RRS1
Q15051	IQCB1
Q15054	POLD3
Q15056	EIF4H
Q15057	ACAP2
Q15058	KIF14
Q15059	BRD3
Q15061	WDR43
Q15067	ACOX1
Q15070	OXA1L
Q15075	EEA1
Q15084	PDIA6
Q15102	PAFAH1B3
Q15118	PDK1
Q15119	PDK2
Q15120	PDK3
Q15125	EBP
Q15126	PMVK
Q15139	PRKD1
Q15149	PLEC
Q15154	PCM1
Q15155	NOMO1
Q15165	PON2
Q15181	PPA1
Q15185	PTGES3
Q15208	STK38
Q15233	NONO
Q15257	PTPA
Q15269	PWP2
Q15274	QPRT
Q15276	RABEP1
Q15286	RAB35
Q15287	RNPS1
Q15291	RBBP5
Q15293	RCN1
Q15329	E2F5
Q15334	LLGL1
Q15345	LRRC41
Q15349	RPS6KA2
Q15361	TTF1
Q15363	TMED2
Q15365	PCBP1
Q15366	PCBP2
Q15369	ELOC
Q15370	ELOB
Q15375	EPHA7
Q15382	RHEB
Q15386	UBE3C
Q15388	TOMM20
Q15390	MTFR1
Q15392	DHCR24
Q15393	SF3B3
Q15397	PUM3
Q15398	DLGAP5
Q15404	RSU1
Q15417	CNN3
Q15418	RPS6KA1
Q15424	SAFB
Q15427	SF3B4
Q15428	SF3A2
Q15435	PPP1R7
Q15436	SEC23A
Q15437	SEC23B
Q15459	SF3A1
Q15475	SIX1
Q15477	SKIV2L
Q15517	CDSN
Q15526	SURF1
Q15528	MED22
Q15532	SS18
Q15542	TAF5
Q15545	TAF7
Q15554	TERF2
Q15555	MAPRE2
Q15561	TEAD4
Q15573	TAF1A
Q15629	TRAM1
Q15631	TSN
Q15633	TARBP2
Q15637	SF1
Q15642	TRIP10
Q15643	TRIP11
Q15645	TRIP13
Q15648	MED1
Q15649	ZNHIT3
Q15650	TRIP4
Q15651	HMGN3
Q15691	MAPRE1
Q15700	DLG2
Q15717	ELAVL1
Q15723	ELF2
Q15738	NSDHL
Q15746	MYLK
Q15750	TAB1
Q15758	SLC1A5
Q15773	MLF2
Q15785	TOMM34
Q15797	SMAD1
Q15800	MSMO1
Q15813	TBCE
Q15814	TBCC
Q15818	NPTX1
Q15819	UBE2V2
Q15833	STXBP2
Q15836	VAMP3
Q15904	ATP6AP1
Q15906	VPS72
Q15907	RAB11B
Q15910	EZH2
Q15942	ZYX
Q16134	ETFDH
Q16181	SEPT7
Q16186	ADRM1
Q16204	CCDC6
Q16222	UAP1
Q16342	PDCD2
Q16352	INA
Q16378	PRR4
Q16394	EXT1
Q16512	PKN1
Q16513	PKN2
Q16527	CSRP2
Q16531	DDB1
Q16537	PPP2R5E
Q16539	MAPK14
Q16540	MRPL23
Q16543	CDC37
Q16555	DPYSL2
Q16566	CAMK4
Q16576	RBBP7
Q16594	TAF9
Q16611	BAK1
Q16625	OCLN
Q16629	SRSF7
Q16630	CPSF6
Q16637	SMN1*
Q16643	DBN1
Q16644	MAPKAPK3
Q16658	FSCN1
Q16698	DECR1
Q16706	MAN2A1
Q16718	NDUFA5
Q16739	UGCG
Q16740	CLPP
Q16762	TST
Q16763	UBE2S
Q16773	KYAT1
Q16775	HAGH
Q16777	HIST2H2AC
Q16795	NDUFA9
Q16799	RTN1
Q16822	PCK2
Q16836	HADH
Q16850	CYP51A1
Q16851	UGP2
Q16854	DGUOK
Q16880	UGT8
Q16881	TXNRD1
